1771900673.378, 0.995, -0.005, 6
1771900673.478, 1.006, 0.001, 12
1771900673.578, 1.002, -0.000, 13
1771900673.678, 1.005, 0.011, 13
1771900673.778, 1.001, -0.001, 12
1771900673.878, 1.006, 0.005, 13
1771900673.978, 1.003, -0.003, 12
1771900674.078, 1.006, -0.001, 13
1771900674.178, 0.997, -0.011, 12
1771900674.278, 0.998, -0.006, 13
1771900674.378, 1.006, -0.002, 13
1771900674.478, 0.997, -0.005, 12
1771900674.578, 1.006, 0.006, 13
1771900674.678, 1.000, -0.012, 12
1771900674.778, 1.009, 0.005, 13
1771900674.878, 1.009, 0.013, 12
1771900674.978, 1.004, -0.001, 13
1771900675.078, 0.997, -0.012, 13
1771900675.178, 1.004, 0.002, 12
1771900675.278, 1.003, 0.000, 13
1771900675.378, 1.006, -0.003, 12
1771900675.478, 1.008, -0.003, 13
1771900675.578, 0.999, 0.001, 12
1771900675.678, 1.000, -0.008, 13
1771900675.778, 1.002, -0.002, 13
1771900675.878, 1.010, 0.018, 12
1771900675.978, 1.000, -0.002, 12
1771900676.078, 1.069, 0.075, 12
1771900676.178, 0.950, -0.086, 13
1771900676.278, 1.010, -0.024, 12
1771900676.378, 0.760, -0.193, 12
1771900676.478, 1.514, 0.542, 12
1771900676.578, 0.931, -0.046, 12
1771900676.678, 0.995, -0.007, 13
1771900676.778, 1.010, 0.002, 12
1771900676.878, 0.997, -0.004, 13
1771900676.978, 0.995, -0.006, 13
1771900677.078, 1.000, 0.001, 12
1771900677.178, 1.001, 0.004, 13
1771900677.278, 1.003, -0.003, 12
1771900677.378, 1.007, 0.004, 13
1771900677.478, 1.036, 0.052, 12
1771900677.578, 1.026, 0.019, 13
1771900677.678, 0.996, -0.003, 13
1771900677.778, 1.007, -0.003, 12
1771900677.878, 1.002, -0.002, 13
1771900677.978, 1.000, -0.010, 12
1771900678.078, 1.006, -0.003, 13
1771900678.178, 1.006, 0.007, 12
1771900678.278, 1.001, -0.001, 13
1771900678.378, 1.002, -0.004, 13
1771900678.478, 1.002, 0.004, 12
1771900678.578, 1.002, -0.003, 13
1771900678.678, 1.002, 0.001, 12
1771900678.778, 1.002, -0.008, 13
1771900678.878, 1.013, 0.021, 12
1771900678.978, 1.006, 0.012, 13
1771900679.078, 0.919, 0.010, 13
1771900679.178, 1.038, -0.008, 12
